ID,Application Type,Description,Typical Flow Range (m³/d),Typical Influent Characteristics,Recommended Treatment Train,Flow Type,Influent Temp (°C),Space Constraint,Energy Priority,Sludge Management,CapEx/OpEx Sensitivity,Redundancy Requirement,End Use,Local Regulations,Deployment Timeframe
1,Municipal Sewage,Domestic wastewater,"100–100,000","BOD: 200–400, TSS: 250–400, TN: 20–50, TP: 4–8",Screening + Primary Clarifier + Activated Sludge + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
2,Dairy Industry,"High organics, fats","50–5,000","BOD: 2,000–5,000, TSS: 1,000–2,000",Screening + DAF + UASB + SBR + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
3,Textile Wastewater,"Dyes, low biodegradability","20–2,000","COD: 500–3,000, Color: High",Screening + Equalization + SBR + GAC + Ozonation,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
4,Brewery Wastewater,"High organics, variable pH","30–3,000","BOD: 1,000–3,000, TSS: 500–1,000",Screening + DAF + UASB + Activated Sludge + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
5,Pulp & Paper,"High TSS, lignin, recalcitrants","500–50,000","COD: 1,500–6,000, TSS: 500–3,000",Screening + Primary Clarifier + Activated Sludge + Tertiary Filtration,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
6,Pharmaceutical,"Complex chemicals, APIs","20–1,000","COD: 500–5,000, Toxics: yes",Screening + Equalization + MBR + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
7,Food Processing,"High BOD/COD, oils and fats","50–10,000","BOD: 800–4,000, FOG: high",Screening + DAF + SBR + GAC + Chlorination,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
8,Petrochemical,"High COD, hydrocarbons, phenols","100–20,000","COD: 2,000–10,000, Phenols: variable",API Separator + UASB + SBR + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
9,Upstream Oil & Gas,Produced water with hydrocarbons,"500–30,000","COD: 1,000–10,000, Oil & Grease: high",API Separator + DAF + UASB + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
10,Downstream Oil & Gas,"Refinery wastewater, high COD","1,000–50,000","COD: 2,000–12,000, Phenols: yes",API Separator + UASB + Activated Sludge + NF + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
11,Mining,"Heavy metals, sediment, low pH","200–100,000","TSS: 500–3,000, Metals: high",Thickener + Chemical Precipitation + SBR + RO,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
12,Paintings and Solvents,"VOC rich, high COD, solvents","50–5,000","COD: 3,000–8,000, VOCs: high",Equalization + AOP + SBR + RO + UV Disinfection,Continuous / Batch / Seasonal,Default: 10–30,Yes / No,Low / Medium / High,Onsite Treatment / Offsite Disposal,Favor CapEx / Favor OpEx / Balanced,N+1 / Not Required,Discharge / Non-potable Reuse / Potable Reuse,"E.g., USEPA, EU UWWTD, WHO, Local",Standard / Rapid Deployment
