ID,Process Name,Process Type,Applicable Contaminants,Typical Removal Efficiency,Energy Use (kWh/m³),Chemical Use (kg/m³),Lifespan (years),Vendor/Brand,Model/Technology,Notes,Sizing Formula
1,Activated Sludge,Biological,"BOD, TSS, N","BOD 90–95%, TN 40–60%",0.3,0.02,20,Xylem (Sanitaire),"ICEAS, Sanitaire Sequence",Extended aeration systems,Aeration Tank Volume (m³) = Q × HRT; MLSS = 3000 mg/L; SRT = 10–20 days
2,Membrane Bioreactor (MBR),Membrane,"BOD, TSS, TN","BOD 95–99%, TN 60–80%",0.7,0.05,15,Kubota,Kubota Submerged MBR,Flat-sheet membranes,Membrane Area (m²) = Q / Flux; Flux = 20–30 L/m²/h
3,Dissolved Air Flotation (DAF),Physical-chemical,"FOG, TSS, some BOD","TSS 80–90%, FOG 90%",0.15,0.1,15,Nijhuis Industries,Nijhuis AquaDAF,Compact design for high FOG removal,Surface Area (m²) = Q / Surface Loading Rate; Rate = 5–10 m³/m²/h
4,Upflow Anaerobic Sludge Blanket (UASB),Anaerobic,"High BOD, COD","BOD 70–85%, COD 60–75%",0.05,0.01,25,Paques,BiopaQ® UASB,Industrial anaerobic reactors,Reactor Volume (m³) = Q × HRT; HRT = 8–12 h
5,Trickling Filter,Biological,"BOD, TSS","BOD 80–90%, TSS 70–85%",0.1,0.01,30,Veolia,BIOFOR®,Compact biological filters,Filter Volume (m³) = Q × HRT; HRT = 2–6 h
6,Sequencing Batch Reactor (SBR),Biological,"BOD, TSS, TN","BOD 90–95%, TN 40–70%",0.4,0.03,20,Evoqua,OMNIFLO® SBR,Batch processing system,Reactor Volume (m³) = Q × HRT; HRT = 6–8 h
7,Granular Activated Carbon (GAC),Physical-chemical,"Recalcitrants, organics",Organics 80–95%,0.01,0.3,10,Calgon Carbon,"Filtrasorb®, Centaur®",NSF certified for drinking water,Carbon Volume (m³) = Q × EBCT; EBCT = 10–20 min
8,Chemical Oxidation (Ozonation),Chemical,"COD, color, toxics","COD 30–70%, Color 50–90%",0.3,0.3,12,Ozonia (Suez),Ozonia M-Series,Medium/large scale ozone generators,Ozone Dose (mg/L) × Q = g/h ozone required
9,Reverse Osmosis (RO),Membrane,"Salts, TDS, micropollutants","TDS 95–99%, Micropollutants >90%",1.2,0.2,15,Dow (DuPont),"FilmTec™ BW30, SWRO Elements",Brackish & seawater membranes,Membrane Area (m²) = Q / Flux; Flux = 15–25 L/m²/h
10,Electrodialysis Reversal (EDR),Membrane,"Salts, TDS",TDS 80–95%,0.9,0.1,15,GE Water (Suez),EDR Electropure,Brackish water desalination,Membrane Area (m²) = Q / Flux; Flux = 15–25 L/m²/h
11,Capacitive Deionization (CDI),Electrochemical,"Salts, TDS, trace organics","TDS 50–80%, Micropollutants 70–90%",0.6,0.05,10,AquaVolt,AquaVolt CDI Modules,Niche applications (TDS <1000 mg/L),Electrode Area (m²) = Q / Current Density; Current Density = 1–10 mA/cm²
12,Ultrafiltration (UF),Membrane,"Turbidity, pathogens","TSS >95%, Bacteria >99%",0.2,0.02,15,Pentair X-Flow,AquaFlex® XF,Hollow fiber UF membranes,Membrane Area (m²) = Q / Flux; Flux = 40–60 L/m²/h
13,Nanofiltration (NF),Membrane,"Hardness, divalent ions","Hardness 50–80%, Organics 50–70%",0.4,0.03,15,Dow (DuPont),"FilmTec™ NF90, NF270",Softening and pesticide removal,Membrane Area (m²) = Q / Flux; Flux = 20–40 L/m²/h
14,UV Disinfection,Disinfection,"Pathogens, viruses",Bacteria/Viruses >99.99%,0.02,0.01,10,Trojan Technologies,"TrojanUV3000™, UVFlex™",Wastewater and potable water systems,Lamp Power (W) = Dose (mJ/cm²) × Q
15,Chlorination,Disinfection,"Pathogens, bacteria",Bacteria >99%,0.005,0.01,10,Siemens,Wallace & Tiernan® Chlorinators,Gas and hypochlorite systems,Chlorine Dose (mg/L) × Q = kg/day chlorine required
16,Moving Bed Biofilm Reactor (MBBR),Biological,"BOD, TSS","BOD 80–90%, TN 30–50%",0.25,0.01,20,AnoxKaldnes (Veolia),"K5 BioMedia, MBBR Process",Industry leader in MBBR technology,Reactor Volume (m³) = Q × HRT; HRT = 4–6 h
17,Constructed Wetlands,Natural Treatment,"Nutrients, BOD","BOD 50–80%, Nutrients 30–50%",0.001,0.01,30,Engineered Site-Specific,Engineered Wetland Design,"Vendor-neutral, site-specific design",Area (m²) = Q / Loading Rate; Loading = 5–10 m³/m²/d
18,Advanced Oxidation Processes (AOP),Chemical,"Recalcitrants, COD, micropollutants","COD >90%, Pharmaceuticals >90%",0.5,0.2,12,Xylem,MiPRO™ AOP,UV/H₂O₂ and UV/Ozone configurations,Ozone/H₂O₂ Dose (mg/L) × Q = kg/day chemical required
19,Ion Exchange (IX),Physical-chemical,"Hardness, nitrates","Nitrates >90%, Hardness >80%",0.03,0.1,15,Purolite,"C100E, A520E",Softening and nitrate removal resins,Resin Volume (m³) = Q × EBCT; EBCT = 5–10 min
20,Microfiltration (MF),Membrane,"Turbidity, bacteria","TSS >90%, Bacteria >99%",0.15,0.01,15,Pall Water,Aria™ FLEX MF,Pretreatment for NF/RO,Membrane Area (m²) = Q / Flux; Flux = 50–100 L/m²/h
