Application,Flow (m³/day),Total CapEx ($),CapEx Unit Cost ($/m³/day),Total OpEx ($/day),OpEx Unit Cost ($/m³),"Lifecycle Cost (20 yrs, $)",Installation/Commissioning (%),Piping/Electrical/Controls (%),Contingency Allowance (%)
Municipal Sewage,50,9705.19,194.1,34.79,0.6957,263652.48,15,10,20
Municipal Sewage,200,23667.62,118.34,128.64,0.6432,962772.34,15,10,20
Municipal Sewage,1000,66940.35,66.94,590.71,0.5907,4379140.44,15,10,20
Municipal Sewage,5000,190311.06,38.06,2730.04,0.546,20119618.4,15,10,20
Municipal Sewage,10000,298942.43,29.89,5288.64,0.5289,38906036.5,15,10,20
Municipal Sewage,25000,543860.59,21.75,12698.75,0.508,93244770.04,15,10,20
Municipal Sewage,50000,856200.7,17.12,24667.74,0.4934,180930672.27,15,10,20
Municipal Sewage,100000,1349197.44,13.49,47973.67,0.4797,351556958.96,15,10,20
Municipal Sewage,250000,2464808.64,9.86,115781.0,0.4631,847666088.04,15,10,20
Municipal Sewage,500000,3892484.53,7.78,225765.2,0.4515,1651978419.32,15,10,20
Dairy Industry,50,21126.1,422.52,48.86,0.9772,377797.71,20,12,25
Dairy Industry,200,52729.14,263.65,182.31,0.9115,1383560.04,20,12,25
Dairy Industry,1000,153491.13,153.49,845.89,0.8459,6328491.23,20,12,25
Dairy Industry,5000,449731.14,89.95,3950.05,0.79,29285115.32,20,12,25
Dairy Industry,10000,715869.69,71.59,7685.8,0.7686,56822237.28,20,12,25
Dairy Industry,25000,1325586.84,53.02,18560.94,0.7424,136820473.66,20,12,25
Dairy Industry,50000,2115076.1,42.3,36209.67,0.7242,266445665.57,20,12,25
Dairy Industry,100000,3377987.23,33.78,70717.08,0.7072,519612689.13,20,12,25
Dairy Industry,250000,6281333.32,25.13,171601.25,0.6864,1258970432.56,20,12,25
Dairy Industry,500000,10052482.07,20.1,335956.5,0.6719,2462534900.55,20,12,25
Textile Wastewater,50,51794.14,1035.88,68.36,1.3672,550815.75,18,15,30
Textile Wastewater,200,147485.53,737.43,260.31,1.3015,2047716.43,18,15,30
Textile Wastewater,1000,501994.03,501.99,1235.89,1.2359,9523994.13,18,15,30
Textile Wastewater,5000,1724274.05,344.85,5900.05,1.18,44794658.23,18,15,30
Textile Wastewater,10000,2940785.44,294.08,11585.8,1.1586,87517153.03,18,15,30
Textile Wastewater,25000,5967908.84,238.72,28310.94,1.1324,212637795.65,18,15,30
Textile Wastewater,50000,10207638.32,204.15,55709.67,1.1142,416888227.78,18,15,30
Textile Wastewater,100000,17478193.31,174.78,109717.08,1.0972,818412895.2,18,15,30
Textile Wastewater,250000,35638315.51,142.55,269101.25,1.0764,2000077414.75,18,15,30
Textile Wastewater,500000,61155861.71,122.31,530956.5,1.0619,3937138280.19,18,15,30
Brewery Wastewater,50,19654.97,393.1,47.36,0.9472,365376.59,17,11,20
Brewery Wastewater,200,48984.22,244.92,176.31,0.8815,1336015.12,17,11,20
Brewery Wastewater,1000,142507.62,142.51,815.89,0.8159,6098507.73,17,11,20
Brewery Wastewater,5000,417770.48,83.55,3800.05,0.76,28158154.66,17,11,20
Brewery Wastewater,10000,665347.56,66.53,7385.8,0.7386,54581715.15,17,11,20
Brewery Wastewater,25000,1233199.66,49.33,17810.94,0.7124,131253086.47,17,11,20
Brewery Wastewater,50000,1969404.6,39.39,34709.67,0.6942,255349994.07,17,11,20
Brewery Wastewater,100000,3148524.53,31.49,67717.08,0.6772,497483226.42,17,11,20
Brewery Wastewater,250000,5863532.52,23.45,164101.25,0.6564,1203802631.76,17,11,20
Brewery Wastewater,500000,9395708.41,18.79,320956.5,0.6419,2352378126.89,17,11,20
Pulp & Paper,50,10795.25,215.9,36.29,0.7257,275692.54,16,12,25
Pulp & Paper,200,25115.47,125.58,134.64,0.6732,1008020.19,16,12,25
Pulp & Paper,1000,67000.14,67.0,620.71,0.6207,4598200.22,16,12,25
Pulp & Paper,5000,178920.18,35.78,2880.04,0.576,21203227.52,16,12,25
Pulp & Paper,10000,273226.42,27.32,5588.64,0.5589,41070320.49,16,12,25
Pulp & Paper,25000,478314.87,19.13,13448.75,0.538,98654224.32,16,12,25
Pulp & Paper,50000,730780.23,14.62,26167.74,0.5234,191755251.8,16,12,25
Pulp & Paper,100000,1116741.91,11.17,50973.67,0.5097,373224503.43,16,12,25
Pulp & Paper,250000,1956829.05,7.83,123281.0,0.4931,901908108.44,16,12,25
Pulp & Paper,500000,2991863.25,5.98,240765.2,0.4815,1760577798.04,16,12,25
Pharmaceutical,50,57073.68,1141.47,77.86,1.5572,625445.29,25,18,30
Pharmaceutical,200,154243.95,771.22,298.31,1.4915,2331874.85,25,18,30
Pharmaceutical,1000,492042.99,492.04,1425.89,1.4259,10901043.1,25,18,30
Pharmaceutical,5000,1578595.88,315.72,6850.05,1.37,51583980.06,25,18,30
Pharmaceutical,10000,2612214.66,261.22,13485.8,1.3486,101058582.25,25,18,30
Pharmaceutical,25000,5090561.68,203.62,33060.94,1.3224,246435448.5,25,18,30
Pharmaceutical,50000,8440901.44,168.82,65209.67,1.3042,484471490.91,25,18,30
Pharmaceutical,100000,14007561.45,140.08,128717.08,1.2872,953642263.34,25,18,30
Pharmaceutical,250000,27394281.01,109.58,316601.25,1.2664,2338583380.25,25,18,30
Pharmaceutical,500000,45538645.53,91.08,625956.5,1.2519,4615021064.01,25,18,30
Food Processing,50,31542.04,630.84,55.36,1.1072,435663.65,18,12,25
Food Processing,200,83987.08,419.94,208.31,1.0415,1604617.99,18,12,25
Food Processing,1000,263484.04,263.48,975.89,0.9759,7387484.14,18,12,25
Food Processing,5000,831830.87,166.37,4600.05,0.92,34412215.05,18,12,25
Food Processing,10000,1367250.29,136.73,8985.8,0.8986,66963617.88,18,12,25
Food Processing,25000,2641297.54,105.65,21810.94,0.8724,161861184.36,18,12,25
Food Processing,50000,4351463.54,87.03,42709.67,0.8542,316132053.01,18,12,25
Food Processing,100000,7175559.9,71.76,83717.08,0.8372,618310261.8,18,12,25
Food Processing,250000,13918520.17,55.67,204101.25,0.8164,1503857619.41,18,12,25
Food Processing,500000,22997473.53,45.99,400956.5,0.8019,2949979892.01,18,12,25
Petrochemical,50,51545.92,1030.92,74.36,1.4872,594367.54,20,15,30
Petrochemical,200,139416.12,697.08,284.31,1.4215,2214847.02,20,15,30
Petrochemical,1000,446230.63,446.23,1355.89,1.3559,10344230.73,20,15,30
Petrochemical,5000,1439042.91,287.81,6500.05,1.3,48889427.09,20,15,30
Petrochemical,10000,2387533.01,238.75,12785.8,1.2786,95723900.6,20,15,30
Petrochemical,25000,4670028.05,186.8,31310.94,1.2524,233239914.86,20,15,30
Petrochemical,50000,7766463.8,155.33,61709.67,1.2342,458247053.27,20,15,30
Petrochemical,100000,12927447.14,129.27,121717.08,1.2172,901462149.03,20,15,30
Petrochemical,250000,25385212.21,101.54,299101.25,1.1964,2208824311.46,20,15,30
Petrochemical,500000,42330121.36,84.66,590956.5,1.1819,4356312539.84,20,15,30
Upstream Oil & Gas,50,55169.72,1103.39,71.36,1.4272,576091.34,22,15,30
Upstream Oil & Gas,200,150545.64,752.73,272.31,1.3615,2138376.54,22,15,30
Upstream Oil & Gas,1000,485544.36,485.54,1295.89,1.2959,9945544.46,22,15,30
Upstream Oil & Gas,5000,1573833.05,314.77,6200.05,1.24,46834217.23,22,15,30
Upstream Oil & Gas,10000,2615109.83,261.51,12185.8,1.2186,91571477.42,22,15,30
Upstream Oil & Gas,25000,5122498.24,204.9,29810.94,1.1924,222742385.06,22,15,30
Upstream Oil & Gas,50000,8524856.86,170.5,58709.67,1.1742,437105446.33,22,15,30
Upstream Oil & Gas,100000,14195351.03,141.95,115717.08,1.1572,858930052.92,22,15,30
Upstream Oil & Gas,250000,27877639.87,111.51,284101.25,1.1364,2101816739.11,22,15,30
Upstream Oil & Gas,500000,46476433.78,92.95,560956.5,1.1219,4141458852.26,22,15,30
Downstream Oil & Gas,50,40673.29,813.47,62.86,1.2572,499544.9,22,15,30
Downstream Oil & Gas,200,109079.72,545.4,238.31,1.1915,1848710.62,22,15,30
Downstream Oil & Gas,1000,346333.15,346.33,1125.89,1.1259,8565333.26,22,15,30
Downstream Oil & Gas,5000,1109780.47,221.96,5350.05,1.07,40165164.65,22,15,30
Downstream Oil & Gas,10000,1837010.88,183.7,10485.8,1.0486,78383378.47,22,15,30
Downstream Oil & Gas,25000,3583552.45,143.34,25560.94,1.0224,190178439.26,22,15,30
Downstream Oil & Gas,50000,5948941.54,118.98,50209.67,1.0042,372479531.01,22,15,30
Downstream Oil & Gas,100000,9886277.81,98.86,98717.08,0.9872,730520979.7,22,15,30
Downstream Oil & Gas,250000,19377241.47,77.51,241601.25,0.9664,1783066340.71,22,15,30
Downstream Oil & Gas,500000,32271839.97,64.54,475956.5,0.9519,3506754258.45,22,15,30
Mining,50,49617.42,992.35,61.72,1.2343,500140.39,20,12,25
Mining,200,135374.34,676.87,238.98,1.1949,1879952.88,20,12,25
Mining,1000,436440.23,436.44,1155.53,1.1555,8871840.29,20,12,25
